vecFilename: /VAF/src/cpp/test/ecapatdnn_0103_a.bin
Number of lines in /VAF/src/cpp/test/ecapatdnn_0103_a.txt: 112963
11000_1638337217713305ECAPATDNN,11008_1649642383033994ECAPATDNN,0.91097
11000_1638337217713305ECAPATDNN,11008_1667265622151830ECAPATDNN,0.984235
11000_1638337217713305ECAPATDNN,11008_1667267140364342ECAPATDNN,0.987454
11000_1638337217713305ECAPATDNN,11008_1667267917800349ECAPATDNN,0.973152
11000_1638337217713305ECAPATDNN,11008_1667268519560023ECAPATDNN,0.917514
11000_1638337217713305ECAPATDNN,11008_1667268589425120ECAPATDNN,0.90553
11000_1638337217713305ECAPATDNN,11008_1667269403823144ECAPATDNN,0.986526
11000_1638337217713305ECAPATDNN,11008_1667269988602158ECAPATDNN,0.913061
11000_1638337217713305ECAPATDNN,11008_1667270419987273ECAPATDNN,0.994528
11000_1638337217713305ECAPATDNN,11008_1667636793755594ECAPATDNN,0.969324
11000_1638337217713305ECAPATDNN,11010_1667539745965823ECAPATDNN,0.968874
11000_1638337217713305ECAPATDNN,11010_1667539793181610ECAPATDNN,0.945013
11000_1638337217713305ECAPATDNN,11010_1667544181678414ECAPATDNN,0.967688
11000_1638337217713305ECAPATDNN,11010_1667548123122263ECAPATDNN,0.950733
11000_1638337217713305ECAPATDNN,11010_1667548476659152ECAPATDNN,0.992755
11000_1638337217713305ECAPATDNN,11010_1667549185232123ECAPATDNN,0.984816
11000_1638337217713305ECAPATDNN,11010_1667549632906571ECAPATDNN,0.974697
11000_1640227493070883ECAPATDNN,18132621705_1640166414464388ECAPATDNN,0.901815
11000_1642668552820219ECAPATDNN,11003_1630398844553490ECAPATDNN,0.970541
11000_1642668552820219ECAPATDNN,11003_1669945637210573ECAPATDNN,0.912924
11000_1642668552820219ECAPATDNN,11003_1669945887178837ECAPATDNN,0.94711
11000_1642668552820219ECAPATDNN,11004_1651134095781659ECAPATDNN,0.904545
11000_1642668552820219ECAPATDNN,11004_1656055138788907ECAPATDNN,0.922754
11000_1642668552820219ECAPATDNN,11006_1658883792032890ECAPATDNN,0.912652
11000_1642668552820219ECAPATDNN,11006_1658900686305317ECAPATDNN,0.968134
11000_1642668552820219ECAPATDNN,11008_1647223457965141ECAPATDNN,0.96834
11000_1642668552820219ECAPATDNN,11008_1647224665939193ECAPATDNN,0.9183
11000_1642668552820219ECAPATDNN,11008_1647497916442784ECAPATDNN,0.956328
11000_1642668552820219ECAPATDNN,11008_1658474451047173ECAPATDNN,0.923525
11000_1642668552820219ECAPATDNN,11009_1630400703235272ECAPATDNN,0.971943
11000_1642668552820219ECAPATDNN,11010_1654505711401777ECAPATDNN,0.948734
